case,activity,timestamp,data
1,a,01.04.21 22:10,number_1=1; number_2=1; number_3=2
1,b,01.04.21 22:11,
1,d,01.04.21 22:12,number_4=2
1,e,01.04.21 22:13,
1,g,01.04.21 22:14,
2,a,01.04.21 22:10,number_1=2; number_2=2; number_3=2
2,b,01.04.21 22:11,
2,d,01.04.21 22:12,number_4=4
2,f,01.04.21 22:13,
2,g,01.04.21 22:15,
3,a,01.04.21 22:10,number_1=3; number_2=3; number_3=4
3,c,01.04.21 22:11,
3,d,01.04.21 22:12,number_4=12
3,f,01.04.21 22:13,
3,g,01.04.21 22:15,
4,a,01.04.21 22:10,number_1=4; number_2=4; number_3=4
4,c,01.04.21 22:11,
4,d,01.04.21 22:12,number_4=16
4,f,01.04.21 22:13,
4,g,01.04.21 22:15,
5,a,01.04.21 22:10,number_1=1; number_2=1; number_3=2
5,b,01.04.21 22:11,
5,d,01.04.21 22:12,number_4=2
5,e,01.04.21 22:13,
5,g,01.04.21 22:14,
6,a,01.04.21 22:10,number_1=2; number_2=1; number_3=2
6,b,01.04.21 22:11,
6,d,01.04.21 22:12,number_4=4
6,f,01.04.21 22:13,
6,g,01.04.21 22:14,
7,a,01.04.21 22:10,number_1=3; number_2=1; number_3=2
7,b,01.04.21 22:11,
7,d,01.04.21 22:12,number_4=6
7,f,01.04.21 22:13,
7,g,01.04.21 22:14,
8,a,01.04.21 22:10,number_1=3; number_2=2; number_3=2
8,b,01.04.21 22:11,
8,d,01.04.21 22:12,number_4=6
8,f,01.04.21 22:13,
8,g,01.04.21 22:14,
9,a,01.04.21 22:10,number_1=3; number_2=3; number_3=4
9,c,01.04.21 22:11,
9,d,01.04.21 22:12,number_4=12
9,f,01.04.21 22:13,
9,g,01.04.21 22:15,
10,a,01.04.21 22:10,number_1=5; number_2=3; number_3=4
10,c,01.04.21 22:11,
10,d,01.04.21 22:12,number_4=20
10,f,01.04.21 22:13,
10,g,01.04.21 22:15,
11,a,01.04.21 22:10,number_1=1; number_2=5; number_3=2
11,b,01.04.21 22:11,
11,d,01.04.21 22:12,number_4=2
11,e,01.04.21 22:13,
11,g,01.04.21 22:15,
12,a,01.04.21 22:10,number_1=2; number_2=4; number_3=2
12,b,01.04.21 22:11,
12,d,01.04.21 22:12,number_4=4
12,f,01.04.21 22:13,
12,g,01.04.21 22:15,
