case,activity,timestamp,data
1,a,01.04.21 22:10,number_1=True; number_2=True; number_3=1; number_4=1
1,b,01.04.21 22:11,
1,d,01.04.21 22:12,number_5=1
1,f,01.04.21 22:13,
1,g,01.04.21 22:14,
2,a,01.04.21 22:10,number_1=True; number_2=False; number_3=2; number_4=1
2,c,01.04.21 22:11,
2,d,01.04.21 22:12,number_5=2
2,e,01.04.21 22:13,
2,g,01.04.21 22:15,
3,a,01.04.21 22:10,number_1=False; number_2=True; number_3=2; number_4=1
3,c,01.04.21 22:11,
3,d,01.04.21 22:12,number_5=2
3,e,01.04.21 22:13,
3,g,01.04.21 22:15,
4,a,01.04.21 22:10,number_1=False; number_2=False; number_3=1; number_4=0
4,c,01.04.21 22:11,
4,d,01.04.21 22:12,number_5=0
4,f,01.04.21 22:13,
4,g,01.04.21 22:15,
5,a,01.04.21 22:10,number_1=False; number_2=True; number_3=4; number_4=1
5,c,01.04.21 22:11,
5,d,01.04.21 22:12,number_5=4
5,e,01.04.21 22:13,
5,g,01.04.21 22:14,
6,a,01.04.21 22:10,number_1=True; number_2=False; number_3=4; number_4=1
6,c,01.04.21 22:11,
6,d,01.04.21 22:12,number_5=4
6,e,01.04.21 22:13,
6,g,01.04.21 22:14,
7,a,01.04.21 22:10,number_1=False; number_2=False; number_3=1; number_4=0
7,c,01.04.21 22:11,
7,d,01.04.21 22:12,number_5=0
7,f,01.04.21 22:13,
7,g,01.04.21 22:14,
8,a,01.04.21 22:10,number_1=True; number_2=False; number_3=2; number_4=1
8,c,01.04.21 22:11,
8,d,01.04.21 22:12,number_5=2
8,e,01.04.21 22:13,
8,g,01.04.21 22:14,
9,a,01.04.21 22:10,number_1=True; number_2=True; number_3=1; number_4=1
9,b,01.04.21 22:11,
9,d,01.04.21 22:12,number_5=1
9,f,01.04.21 22:13,
9,g,01.04.21 22:15,
10,a,01.04.21 22:10,number_1=True; number_2=False; number_3=2; number_4=1
10,c,01.04.21 22:11,
10,d,01.04.21 22:12,number_5=2
10,e,01.04.21 22:13,
10,g,01.04.21 22:15,
11,a,01.04.21 22:10,number_1=True; number_2=False; number_3=3; number_4=1
11,c,01.04.21 22:11,
11,d,01.04.21 22:12,number_5=3
11,e,01.04.21 22:13,
11,g,01.04.21 22:15,
12,a,01.04.21 22:10,number_1=False; number_2=False; number_3=1; number_4=0
12,c,01.04.21 22:11,
12,d,01.04.21 22:12,number_5=0
12,f,01.04.21 22:13,
12,g,01.04.21 22:15,
